Draw No,Draw Date,Winning No,Additional No
3884,6/7/2023,"13,16,28,34,38,40",47
3883,3/7/2023,"14,30,34,40,45,49",12
3882,29/6/2023,"5,15,16,30,37,46",49
3881,26/6/2023,"4,5,17,28,39,44",31
3880,22/6/2023,"3,9,28,32,37,46",7
3879,19/6/2023,"2,25,28,30,32,46",48
3878,15/6/2023,"6,15,17,42,46,49",20
3877,12/6/2023,"2,22,28,33,34,36",7
3876,8/6/2023,"6,21,31,32,35,48",19
3875,5/6/2023,"5,16,26,28,32,34",24
3874,1/6/2023,"7,15,33,40,45,49",5
3873,29/5/2023,"5,13,30,34,36,48",20
3872,25/5/2023,"4,15,17,35,42,48",45
3871,22/5/2023,"1,4,7,8,34,44",12
3870,18/5/2023,"7,13,18,19,25,29",36
3869,15/5/2023,"7,33,36,40,41,42",30
3868,11/5/2023,"1,11,26,38,41,44",6
3867,8/5/2023,"1,3,6,11,23,34",39
3866,4/5/2023,"16,21,25,28,37,44",24
3865,1/5/2023,"22,26,29,30,48,49",46
3864,27/4/2023,"4,9,30,32,40,49",16
3863,24/4/2023,"5,6,25,32,36,49",21
3862,20/4/2023,"11,14,21,30,37,40",20
3861,17/4/2023,"9,11,17,22,31,43",34
3860,13/4/2023,"11,21,30,31,33,38",24
3859,10/4/2023,"8,10,12,25,32,38",20
3858,6/4/2023,"6,7,31,42,46,47",27
3857,3/4/2023,"13,27,28,42,44,45",1
3856,30/3/2023,"12,26,34,39,41,49",16
3855,27/3/2023,"1,4,17,28,43,45",29
3854,23/3/2023,"14,21,26,29,37,40",7
3853,20/3/2023,"7,8,15,27,34,38",37
3852,16/3/2023,"4,14,30,33,37,42",22
3851,13/3/2023,"1,3,15,18,23,48",41
3850,9/3/2023,"1,10,30,31,38,45",11
3849,6/3/2023,"21,30,35,36,37,45",1
3848,2/3/2023,"15,22,24,26,29,36",28
3847,27/2/2023,"6,26,32,39,44,48",11
3846,23/2/2023,"2,5,19,24,34,44",37
3845,20/2/2023,"4,9,21,22,25,41",18
3844,16/2/2023,"3,10,16,24,42,46",25
3843,13/2/2023,"5,12,23,28,31,39",37
3842,9/2/2023,"18,20,27,37,43,47",10
3841,6/2/2023,"6,10,15,19,20,30",5
3840,3/2/2023,"4,6,21,25,34,40",48
3839,30/1/2023,"13,23,25,26,44,45",38
3838,26/1/2023,"2,21,34,40,43,45",13
3837,23/1/2023,"22,30,31,39,43,49",3
3836,20/1/2023,"15,29,35,47,48,49",10
3835,16/1/2023,"15,22,23,36,40,42",20
3834,12/1/2023,"2,6,8,28,31,37",48
3833,9/1/2023,"1,3,13,15,22,43",46
3832,6/1/2023,"12,22,30,32,42,49",8
3831,2/1/2023,"1,13,15,32,41,47",11
3830,29/12/2022,"12,18,25,28,30,36",48
3829,26/12/2022,"3,10,31,32,44,47",41
3828,22/12/2022,"4,11,13,16,32,46",9
3827,19/12/2022,"8,14,24,26,45,46",42
3826,15/12/2022,"4,12,17,19,24,44",20
3825,12/12/2022,"3,7,22,27,44,49",13
3824,8/12/2022,"1,6,21,35,37,46",33
3823,5/12/2022,"5,6,7,25,28,35",8
3822,1/12/2022,"3,12,20,39,40,47",18
3821,28/11/2022,"7,16,17,28,37,48",14
3820,24/11/2022,"3,8,11,21,24,31",25
3819,21/11/2022,"3,9,21,30,36,46",2
3818,17/11/2022,"1,10,16,23,38,49",25
3817,14/11/2022,"8,15,22,26,34,45",32
3816,10/11/2022,"10,23,28,35,39,46",6
3815,7/11/2022,"10,14,33,37,39,45",28
3814,3/11/2022,"13,21,24,25,26,41",11
3813,31/10/2022,"4,14,17,25,29,49",36
3812,27/10/2022,"13,16,25,41,45,46",20
3811,24/10/2022,"7,11,17,21,41,43",30
3810,20/10/2022,"2,9,19,27,33,37",21
3809,17/10/2022,"1,8,16,24,38,43",15
3808,13/10/2022,"2,4,8,17,22,40",6
3807,10/10/2022,"8,10,18,26,42,47",49
3806,6/10/2022,"10,19,20,22,26,46",4
3805,3/10/2022,"7,16,20,29,33,42",39
3804,29/9/2022,"27,29,31,44,46,49",42
3803,26/9/2022,"6,19,24,34,43,46",21
3802,22/9/2022,"3,11,19,26,43,49",37
3801,19/9/2022,"1,5,14,23,40,45",16
3800,15/9/2022,"13,15,27,29,38,45",40
3799,12/9/2022,"8,15,21,22,39,43",44
3798,8/9/2022,"1,8,11,12,22,46",35
3797,5/9/2022,"4,9,13,18,34,47",3
3796,1/9/2022,"1,18,28,42,43,48",45
3795,29/8/2022,"4,8,9,15,22,31",13
3794,25/8/2022,"3,5,13,23,24,48",10
3793,22/8/2022,"5,20,23,36,42,44",47
3792,18/8/2022,"2,4,12,18,28,43",38
3791,15/8/2022,"7,22,29,34,38,41",35
3790,11/8/2022,"10,12,16,18,32,44",22
3789,8/8/2022,"2,9,33,34,37,49",29
3788,5/8/2022,"14,18,24,37,43,45",8
3787,1/8/2022,"3,10,12,29,45,47",26
3786,28/7/2022,"1,2,25,33,36,40",7
3785,25/7/2022,"2,6,29,30,31,44",40
3784,21/7/2022,"4,15,31,42,43,47",39
3783,18/7/2022,"3,20,36,41,43,47",9
